input file,prediction_fraction,k,comp_time,random_prediction_dataset,min_max_normalization,holidays_flag,join_holidays,month_flag,past_values,reduced size,best model,best model cross val score,best model test score,,,,,,,,,
Main_cbe_01.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.725403432,0.121557536,DummyRegressor,-0.172083794,KNeighborsRegressor,0.715855188,RandomForestRegressor,0.716535795,ExtraTreesRegressor,0.725403432,
Main_cbe_02.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.827327727,0.843679389,DummyRegressor,-0.015473013,KNeighborsRegressor,0.776840863,RandomForestRegressor,0.818580066,ExtraTreesRegressor,0.827327727,
Main_cbe_02.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,ExtraTreesRegressor,0.817819565,0.815485283,DummyRegressor,-0.015473013,KNeighborsRegressor,0.791892066,RandomForestRegressor,0.813988767,ExtraTreesRegressor,0.817819565,
Main_cbe_02.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,ExtraTreesRegressor,0.829131187,0.843614481,DummyRegressor,-0.015473013,KNeighborsRegressor,0.778185866,RandomForestRegressor,0.817268235,ExtraTreesRegressor,0.829131187,
Main_cbe_02.csv,0.25,5,0.1,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,ExtraTreesRegressor,0.818408988,0.812507814,DummyRegressor,-0.015473013,KNeighborsRegressor,0.792296809,RandomForestRegressor,0.809834416,ExtraTreesRegressor,0.818408988,
Main_cbe_02.csv,0.25,5,0.1,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,ExtraTreesRegressor,0.817913867,0.81239913,DummyRegressor,-0.015473013,KNeighborsRegressor,0.806780843,RandomForestRegressor,0.811471013,ExtraTreesRegressor,0.817913867,
Main_cbe_02.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.826770687,0.840959226,DummyRegressor,-0.135819148,KNeighborsRegressor,0.776811205,RandomForestRegressor,0.81789447,ExtraTreesRegressor,0.826770687,
Main_cbe_04.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.717909608,0.708136466,DummyRegressor,-0.096193798,KNeighborsRegressor,0.667070611,RandomForestRegressor,0.706398641,ExtraTreesRegressor,0.717909608,
Main_cbe_04.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,ExtraTreesRegressor,0.69307899,0.680190668,DummyRegressor,-0.096193798,KNeighborsRegressor,0.670707603,RandomForestRegressor,0.680394807,ExtraTreesRegressor,0.69307899,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,RandomForestRegressor,0.68797223,NA - prediction only,DummyRegressor,-0.087228021,RandomForestRegressor,0.68797223,,,,,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,RandomForestRegressor,0.687635092,NA - prediction only,DummyRegressor,-0.087228021,RandomForestRegressor,0.687635092,,,,,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,RandomForestRegressor,0.713293872,NA - prediction only,DummyRegressor,-0.087228021,RandomForestRegressor,0.713293872,,,,,
Main_cbe_04.csv,0.25,5,0.001,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,RandomForestRegressor,0.650981048,NA - prediction only,DummyRegressor,-0.087228021,RandomForestRegressor,0.650981048,,,,,
Main_cbe_04.csv,0.25,5,0.001,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,RandomForestRegressor,0.669841437,NA - prediction only,DummyRegressor,-0.087228021,RandomForestRegressor,0.669841437,,,,,
Main_cbe_04.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,DummyRegressor,-0.096193798,-0.111811252,DummyRegressor,-0.096193798,SVR,-0.290180542,,,,,
Main_cbe_04.csv,0.25,5,0.5,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,SVR,0.624151055,0.62691645,DummyRegressor,-0.096193798,SVR,0.624151055,,,,,
Main_cbe_04.csv,0.25,5,0.1,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,ExtraTreesRegressor,0.714135205,0.708736123,DummyRegressor,-0.096193798,KNeighborsRegressor,0.667074265,RandomForestRegressor,0.702101764,ExtraTreesRegressor,0.714135205,
Main_cbe_04.csv,0.25,5,0.5,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,GradientBoostingRegressor,0.703706374,0.68876495,DummyRegressor,-0.097325275,GradientBoostingRegressor,0.703706374,,,,,
Main_cbe_04.csv,0.25,5,0.01,FALSE,FALSE,TRUE,TRUE,TRUE,1,0,ExtraTreesRegressor,0.71369572,0.728195786,DummyRegressor,-0.097442961,ExtraTreesRegressor,0.71369572,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,2,0,ExtraTreesRegressor,0.722300828,0.747382308,DummyRegressor,-0.096183498,ExtraTreesRegressor,0.722300828,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,4,0,ExtraTreesRegressor,0.71662405,0.755744048,DummyRegressor,-0.096367189,ExtraTreesRegressor,0.71662405,,,,,
Main_cbe_04.csv,0.25,5,0.02,FALSE,FALSE,TRUE,TRUE,TRUE,8,0,ExtraTreesRegressor,0.70990586,0.751097194,DummyRegressor,-0.096746773,ExtraTreesRegressor,0.70990586,,,,,
